data,score
"Job Title: Backend Developer, Experience: 11 years, Skills: C#, SQL Server, .NET, Azure, Education: BSc Computer Science, Certifications: None Proven track record with multiple successful projects and leadership experience in high-impact roles.",72
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,16
"Job Title: IT Support Specialist, Experience: 12 years, Skills: Troubleshooting, Networking, Linux, Windows, Education: Diploma in Web Development, Certifications: Red Hat Certified Engineer (RHCE)",56
"Job Title: IT Support Specialist, Experience: 12 years, Skills: Troubleshooting, Networking, Linux, Windows, Education: Diploma in Web Development, Certifications: Red Hat Certified Engineer (RHCE) Proven track record with multiple successful projects and leadership experience in high-impact roles.",93
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,35
"Job Title: Cloud Architect, Experience: 6 years, Skills: AWS, Google Cloud, Azure, Kubernetes, Education: Diploma in Web Development, Certifications: Udacity Frontend Nanodegree, Microsoft Certified: Azure Developer",60
"Job Title: Cloud Architect, Experience: 6 years, Skills: AWS, Google Cloud, Azure, Kubernetes, Education: Diploma in Web Development, Certifications: Udacity Frontend Nanodegree, Microsoft Certified: Azure Developer Proven track record with multiple successful projects and leadership experience in high-impact roles.",91
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,13
"Job Title: Cloud Architect, Experience: 10 years, Skills: AWS, Google Cloud, Azure, Kubernetes, Education: BSc Information Technology, Certifications: None",65
"Job Title: Cloud Architect, Experience: 10 years, Skills: AWS, Google Cloud, Azure, Kubernetes, Education: BSc Information Technology, Certifications: None Proven track record with multiple successful projects and leadership experience in high-impact roles.",96
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,35
"Job Title: Cybersecurity Analyst, Experience: 1 years, Skills: Ethical Hacking, Network Security, Penetration Testing, Python, Education: BEng Software Engineering, Certifications: Google Data Analytics Certificate",42
"Job Title: Cybersecurity Analyst, Experience: 1 years, Skills: Ethical Hacking, Network Security, Penetration Testing, Python, Education: BEng Software Engineering, Certifications: Google Data Analytics Certificate Proven track record with multiple successful projects and leadership experience in high-impact roles.",99
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,16
"Job Title: Web Developer, Experience: 1 years, Skills: CSS, JavaScript, HTML, Bootstrap, Education: BEng Software Engineering, Certifications: Microsoft Certified: Azure Developer, Google Data Analytics Certificate",66
"Job Title: Web Developer, Experience: 1 years, Skills: CSS, JavaScript, HTML, Bootstrap, Education: BEng Software Engineering, Certifications: Microsoft Certified: Azure Developer, Google Data Analytics Certificate Proven track record with multiple successful projects and leadership experience in high-impact roles.",74
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,33
"Job Title: Cybersecurity Analyst, Experience: 6 years, Skills: Ethical Hacking, Network Security, Penetration Testing, Python, Education: BSc Information Technology, Certifications: None",64
"Job Title: Cybersecurity Analyst, Experience: 6 years, Skills: Ethical Hacking, Network Security, Penetration Testing, Python, Education: BSc Information Technology, Certifications: None Proven track record with multiple successful projects and leadership experience in high-impact roles.",75
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,13
"Job Title: Cloud Architect, Experience: 1 years, Skills: Azure, Google Cloud, Kubernetes, AWS, Education: BSc Information Technology, Certifications: Udacity Frontend Nanodegree",58
"Job Title: Cloud Architect, Experience: 1 years, Skills: Azure, Google Cloud, Kubernetes, AWS, Education: BSc Information Technology, Certifications: Udacity Frontend Nanodegree Proven track record with multiple successful projects and leadership experience in high-impact roles.",92
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,21
"Job Title: DevOps Engineer, Experience: 9 years, Skills: Kubernetes, Terraform, Docker, CI/CD, Education: BSc Information Technology, Certifications: React Developer Certificate",67
"Job Title: DevOps Engineer, Experience: 9 years, Skills: Kubernetes, Terraform, Docker, CI/CD, Education: BSc Information Technology, Certifications: React Developer Certificate Proven track record with multiple successful projects and leadership experience in high-impact roles.",92
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,24
"Job Title: Cybersecurity Analyst, Experience: 3 years, Skills: Ethical Hacking, Penetration Testing, Network Security, Python, Education: PhD in Artificial Intelligence, Certifications: Google Data Analytics Certificate",43
"Job Title: Cybersecurity Analyst, Experience: 3 years, Skills: Ethical Hacking, Penetration Testing, Network Security, Python, Education: PhD in Artificial Intelligence, Certifications: Google Data Analytics Certificate Proven track record with multiple successful projects and leadership experience in high-impact roles.",85
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,16
"Job Title: Web Developer, Experience: 14 years, Skills: JavaScript, HTML, CSS, Bootstrap, Education: BSc Information Technology, Certifications: Kubernetes Certified Administrator",65
"Job Title: Web Developer, Experience: 14 years, Skills: JavaScript, HTML, CSS, Bootstrap, Education: BSc Information Technology, Certifications: Kubernetes Certified Administrator Proven track record with multiple successful projects and leadership experience in high-impact roles.",80
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,39
"Job Title: Data Scientist, Experience: 14 years, Skills: Python, Docker, PostgreSQL, Django, Education: Diploma in Web Development, Certifications: Certified Ethical Hacker (CEH)",45
"Job Title: Data Scientist, Experience: 14 years, Skills: Python, Docker, PostgreSQL, Django, Education: Diploma in Web Development, Certifications: Certified Ethical Hacker (CEH) Proven track record with multiple successful projects and leadership experience in high-impact roles.",74
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,19
"Job Title: Data Scientist, Experience: 12 years, Skills: PostgreSQL, Python, Django, Docker, Education: PhD in Artificial Intelligence, Certifications: AWS Certified Developer, Cisco Certified Network Associate (CCNA)",42
"Job Title: Data Scientist, Experience: 12 years, Skills: PostgreSQL, Python, Django, Docker, Education: PhD in Artificial Intelligence, Certifications: AWS Certified Developer, Cisco Certified Network Associate (CCNA) Proven track record with multiple successful projects and leadership experience in high-impact roles.",75
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,10
"Job Title: Cloud Architect, Experience: 10 years, Skills: Kubernetes, AWS, Azure, Google Cloud, Education: PhD in Artificial Intelligence, Certifications: None",64
"Job Title: Cloud Architect, Experience: 10 years, Skills: Kubernetes, AWS, Azure, Google Cloud, Education: PhD in Artificial Intelligence, Certifications: None Proven track record with multiple successful projects and leadership experience in high-impact roles.",79
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,24
"Job Title: DevOps Engineer, Experience: 3 years, Skills: Terraform, Kubernetes, Docker, CI/CD, Education: BSc Information Technology, Certifications: Certified Ethical Hacker (CEH), AWS Certified Developer",56
"Job Title: DevOps Engineer, Experience: 3 years, Skills: Terraform, Kubernetes, Docker, CI/CD, Education: BSc Information Technology, Certifications: Certified Ethical Hacker (CEH), AWS Certified Developer Proven track record with multiple successful projects and leadership experience in high-impact roles.",86
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,38
"Job Title: IT Support Specialist, Experience: 15 years, Skills: Networking, Linux, Troubleshooting, Windows, Education: BSc Computer Science, Certifications: None",61
"Job Title: IT Support Specialist, Experience: 15 years, Skills: Networking, Linux, Troubleshooting, Windows, Education: BSc Computer Science, Certifications: None Proven track record with multiple successful projects and leadership experience in high-impact roles.",87
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,30
"Job Title: IT Support Specialist, Experience: 6 years, Skills: Windows, Troubleshooting, Linux, Networking, Education: Diploma in Web Development, Certifications: React Developer Certificate",67
"Job Title: IT Support Specialist, Experience: 6 years, Skills: Windows, Troubleshooting, Linux, Networking, Education: Diploma in Web Development, Certifications: React Developer Certificate Proven track record with multiple successful projects and leadership experience in high-impact roles.",73
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,36
"Job Title: Machine Learning Engineer, Experience: 1 years, Skills: Deep Learning, TensorFlow, Python, PyTorch, Education: BSc Information Technology, Certifications: Google Data Analytics Certificate",58
"Job Title: Machine Learning Engineer, Experience: 1 years, Skills: Deep Learning, TensorFlow, Python, PyTorch, Education: BSc Information Technology, Certifications: Google Data Analytics Certificate Proven track record with multiple successful projects and leadership experience in high-impact roles.",83
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,17
"Job Title: Cybersecurity Analyst, Experience: 9 years, Skills: Python, Network Security, Penetration Testing, Ethical Hacking, Education: Diploma in Web Development, Certifications: Google Data Analytics Certificate, Microsoft Certified: Azure Developer",56
"Job Title: Cybersecurity Analyst, Experience: 9 years, Skills: Python, Network Security, Penetration Testing, Ethical Hacking, Education: Diploma in Web Development, Certifications: Google Data Analytics Certificate, Microsoft Certified: Azure Developer Proven track record with multiple successful projects and leadership experience in high-impact roles.",100
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,25
"Job Title: IT Support Specialist, Experience: 9 years, Skills: Linux, Troubleshooting, Networking, Windows, Education: BSc Computer Science, Certifications: None",68
"Job Title: IT Support Specialist, Experience: 9 years, Skills: Linux, Troubleshooting, Networking, Windows, Education: BSc Computer Science, Certifications: None Proven track record with multiple successful projects and leadership experience in high-impact roles.",80
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,35
"Job Title: Web Developer, Experience: 7 years, Skills: HTML, CSS, JavaScript, Bootstrap, Education: PhD in Artificial Intelligence, Certifications: Kubernetes Certified Administrator",60
"Job Title: Web Developer, Experience: 7 years, Skills: HTML, CSS, JavaScript, Bootstrap, Education: PhD in Artificial Intelligence, Certifications: Kubernetes Certified Administrator Proven track record with multiple successful projects and leadership experience in high-impact roles.",83
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,33
"Job Title: Frontend Developer, Experience: 4 years, Skills: MongoDB, Node.js, JavaScript, React, Education: PhD in Artificial Intelligence, Certifications: Udacity Frontend Nanodegree",46
"Job Title: Frontend Developer, Experience: 4 years, Skills: MongoDB, Node.js, JavaScript, React, Education: PhD in Artificial Intelligence, Certifications: Udacity Frontend Nanodegree Proven track record with multiple successful projects and leadership experience in high-impact roles.",77
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,33
"Job Title: Software Engineer, Experience: 8 years, Skills: Java, AWS, SQL, Spring Boot, Education: BSc Computer Science, Certifications: Udacity Frontend Nanodegree",50
"Job Title: Software Engineer, Experience: 8 years, Skills: Java, AWS, SQL, Spring Boot, Education: BSc Computer Science, Certifications: Udacity Frontend Nanodegree Proven track record with multiple successful projects and leadership experience in high-impact roles.",89
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,34
"Job Title: Software Engineer, Experience: 4 years, Skills: SQL, Java, AWS, Spring Boot, Education: MSc Data Science, Certifications: Microsoft Certified: Azure Developer, Red Hat Certified Engineer (RHCE)",57
"Job Title: Software Engineer, Experience: 4 years, Skills: SQL, Java, AWS, Spring Boot, Education: MSc Data Science, Certifications: Microsoft Certified: Azure Developer, Red Hat Certified Engineer (RHCE) Proven track record with multiple successful projects and leadership experience in high-impact roles.",83
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,37
"Job Title: Machine Learning Engineer, Experience: 1 years, Skills: Python, PyTorch, Deep Learning, TensorFlow, Education: BSc Information Technology, Certifications: None",58
"Job Title: Machine Learning Engineer, Experience: 1 years, Skills: Python, PyTorch, Deep Learning, TensorFlow, Education: BSc Information Technology, Certifications: None Proven track record with multiple successful projects and leadership experience in high-impact roles.",83
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,33
"Job Title: Cloud Architect, Experience: 11 years, Skills: Azure, Google Cloud, Kubernetes, AWS, Education: BEng Software Engineering, Certifications: Cisco Certified Network Associate (CCNA)",51
"Job Title: Cloud Architect, Experience: 11 years, Skills: Azure, Google Cloud, Kubernetes, AWS, Education: BEng Software Engineering, Certifications: Cisco Certified Network Associate (CCNA) Proven track record with multiple successful projects and leadership experience in high-impact roles.",79
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,28
"Job Title: IT Support Specialist, Experience: 4 years, Skills: Troubleshooting, Windows, Linux, Networking, Education: BEng Software Engineering, Certifications: Google Data Analytics Certificate, Certified Ethical Hacker (CEH)",51
"Job Title: IT Support Specialist, Experience: 4 years, Skills: Troubleshooting, Windows, Linux, Networking, Education: BEng Software Engineering, Certifications: Google Data Analytics Certificate, Certified Ethical Hacker (CEH) Proven track record with multiple successful projects and leadership experience in high-impact roles.",97
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,36
"Job Title: Cloud Architect, Experience: 12 years, Skills: AWS, Azure, Kubernetes, Google Cloud, Education: BSc Computer Science, Certifications: Cisco Certified Network Associate (CCNA)",56
"Job Title: Cloud Architect, Experience: 12 years, Skills: AWS, Azure, Kubernetes, Google Cloud, Education: BSc Computer Science, Certifications: Cisco Certified Network Associate (CCNA) Proven track record with multiple successful projects and leadership experience in high-impact roles.",80
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,26
"Job Title: Cloud Architect, Experience: 1 years, Skills: Google Cloud, Kubernetes, AWS, Azure, Education: Diploma in Web Development, Certifications: Udacity Frontend Nanodegree",44
"Job Title: Cloud Architect, Experience: 1 years, Skills: Google Cloud, Kubernetes, AWS, Azure, Education: Diploma in Web Development, Certifications: Udacity Frontend Nanodegree Proven track record with multiple successful projects and leadership experience in high-impact roles.",80
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,12
"Job Title: IT Support Specialist, Experience: 6 years, Skills: Windows, Networking, Troubleshooting, Linux, Education: PhD in Artificial Intelligence, Certifications: Kubernetes Certified Administrator",70
"Job Title: IT Support Specialist, Experience: 6 years, Skills: Windows, Networking, Troubleshooting, Linux, Education: PhD in Artificial Intelligence, Certifications: Kubernetes Certified Administrator Proven track record with multiple successful projects and leadership experience in high-impact roles.",85
This is a basic job description. Skills include some basic knowledge. No major achievements or certifications.,40
"Job Title: Frontend Developer, Experience: 6 years, Skills: JavaScript, MongoDB, Node.js, React, Education: PhD in Artificial Intelligence, Certifications: Udacity Frontend Nanodegree, Microsoft Certified: Azure Developer",41
